"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order"
1866,11735321,1511,6.13127253873484,0.242663520431041,9858600,0.005,10,0.1,"11735269",1
1762,11735339,1699,6.98269779756474,0.265787977044598,16186500,0.005,10,0.1,"11735287",1
1379,11735349,1393,10.7224632825798,0.358860168231704,401400,0.005,10,0.1,"11735317,11735319",2
2192,6270200,3234,7.03978193065367,0.267307105606711,13980600,0.005,10,0.1,"11735321",1
1879,11735335,25,4.47998037151593,0.194810489144986,5016600,0.005,10,0.1,"11735331",1
1761,11735347,1598,7.62781012081081,0.282747628149675,20175300,0.005,10,0.1,"11735339",1
1378,11735399,2333,12.6025092895223,0.401826872645433,2907000,0.005,10,0.1,"11735349,11735347",2
1367,11735387,953,4.75273802760246,0.20303914340707,6343200,0.005,10,0.1,"11735359",1
1923,11735355,1363,4.92780307423544,0.208245871334126,6628500,0.005,10,0.1,"11735361",1
1795,11735403,1607,5.37389290767751,0.221269403045748,8073000,0.005,10,0.1,"11735371",1
1366,11735405,435,5.67826814979065,0.229969471626575,9889200,0.005,10,0.1,"11735387",1
1377,11735447,2387,12.9276902266683,0.40905689255719,1750500,0.005,10,0.1,"11735399",2
1794,11735469,1887,6.51560480585737,0.253213801555181,13009500,0.005,10,0.1,"11735403",1
1365,11735421,472,6.08235958267831,0.241306779240862,11723400,0.005,10,0.1,"11735405",1
1521,11735451,1548,7.69556423031021,0.284503351025784,19801800,0.005,10,0.1,"11735409",1
1364,11735443,430,6.97163222994406,0.265493068663643,16491600,0.005,10,0.1,"11735421",1
1363,11735465,810,7.56049265815208,0.28099858059963,20161800,0.005,10,0.1,"11735443",1
1376,11735461,418,13.373072415769,0.418871581423243,251100,0.005,10,0.1,"11735447",2
1520,11735479,629,8.56007501118208,0.306516147374726,25754400,0.005,10,0.1,"11735451",1
1456,11735499,972,7.63191142964823,0.282854038675896,20115900,0.005,10,0.1,"11735457",1
1375,11735509,1737,13.5902587479393,0.423621961475558,1045800,0.005,10,0.1,"11735461",2
1362,11735501,770,7.73811438951937,0.285603589090062,21360600,0.005,10,0.1,"11735465",1
1793,11735507,1003,7.28321593434071,0.273744428839653,17155800,0.005,10,0.1,"11735469",1
1519,11735483,77,9.1556302038428,0.321292678563712,30495600,0.005,10,0.1,"11735479",1
1518,11735541,1517,9.45189391199302,0.328535455860918,33041700,0.005,10,0.1,"11735483",1
1971,11735511,1029,6.33889389626523,0.248386790964182,12867300,0.005,10,0.1,"11735497",1
1455,11735575,1923,8.09953454180362,0.29487713768627,23393700,0.005,10,0.1,"11735499",1
1361,11735621,3965,8.82798251588889,0.313200238445061,29649600,0.005,10,0.1,"11735501",1
1792,11737427,2609,8.18919507825439,0.29715833116642,22952700,0.005,10,0.1,"11735507",1
1374,11735565,1304,14.477881889451,0.442805064611458,1601100,0.005,10,0.1,"11735509,11735511",2
1517,11735559,493,9.60807390195093,0.332326132465139,34421400,0.005,10,0.1,"11735541",1
1554,11735591,2182,6.29425725994985,0.247161146798112,2462400,0.005,10,0.1,"11735557,11735567",2
1516,11735617,1530,9.9947117591708,0.34163176971034,38017800,0.005,10,0.1,"11735559",1
1373,11735619,1697,14.7577161789346,0.448778938070311,2455200,0.005,10,0.1,"11735565",2
